VNINDEX,20/05/2022	1,240.71 	-0.93 (-0.07 %)	   	433,866,800 	11,387,930,190,000 	35,897,937 	863,998,810,000 	1,241.07 	1,252.96 	1,232.33 
VNINDEX,19/05/2022	1,241.64 	0.88 (0.07 %)	   	434,032,300 	11,594,195,670,000 	35,994,280 	1,144,740,410,000 	1,211.31 	1,246.66 	1,211.07 
VNINDEX,18/05/2022	1,240.76 	12.39 (1.01 %)	   	482,632,400 	12,891,523,380,000 	48,924,765 	801,873,100,000 	1,240.06 	1,249.84 	1,222.92 
VNINDEX,17/05/2022	1,228.37 	56.42 (4.81 %)	   	511,336,600 	13,166,072,140,000 	33,887,705 	866,971,730,000 	1,164.32 	1,228.37 	1,156.54 
VNINDEX,16/05/2022	1,171.95 	-10.82 (-0.91 %)	   	518,482,600 	13,664,859,610,000 	33,035,189 	824,557,520,000 	1,208.05 	1,215.96 	1,170.59 
VNINDEX,13/05/2022	1,182.77 	-56.07 (-4.53 %)	   	698,929,900 	18,277,900,110,000 	55,911,343 	1,300,434,500,000 	1,235.03 	1,237.80 	1,180.60 
VNINDEX,12/05/2022	1,238.84 	-62.69 (-4.82 %)	   	485,689,700 	13,940,615,580,000 	39,449,702 	1,731,218,310,000 	1,290.04 	1,291.65 	1,238.05 
VNINDEX,11/05/2022	1,301.53 	7.97 (0.62 %)	   	353,028,500 	10,156,070,690,000 	36,251,960 	1,197,336,070,000 	1,295.39 	1,305.17 	1,277.91 
VNINDEX,10/05/2022	1,293.56 	23.94 (1.89 %)	   	576,228,000 	15,961,711,460,000 	55,312,083 	14,656,600,700,000 	1,240.93 	1,293.56 	1,232.57 
VNINDEX,09/05/2022	1,269.62 	-59.64 (-4.49 %)	   	594,700,900 	17,010,892,390,000 	45,251,514 	1,602,632,630,000 	1,313.49 	1,314.52 	1,265.54 
VNINDEX,06/05/2022	1,329.26 	-31.42 (-2.31 %)	   	480,060,200 	14,700,740,370,000 	53,393,724 	2,208,923,770,000 	1,333.55 	1,350.09 	1,328.13 
VNINDEX,05/05/2022	1,360.68 	12.00 (0.89 %)	   	486,348,000 	14,346,361,250,000 	19,840,773 	906,989,950,000 	1,361.62 	1,362.18 	1,331.41 
VNINDEX,04/05/2022	1,348.68 	-18.12 (-1.33 %)	   	478,584,000 	13,454,412,190,000 	29,407,008 	963,720,290,000 	1,366.11 	1,366.39 	1,348.68 
VNINDEX,29/04/2022	1,366.80 	15.81 (1.17 %)	   	506,318,600 	15,356,522,220,000 	64,763,837 	3,331,414,050,000 	1,347.08 	1,369.31 	1,343.24 
VNINDEX,28/04/2022	1,350.99 	-2.78 (-0.21 %)	   	431,624,900 	12,202,366,880,000 	24,859,286 	999,331,040,000 	1,353.48 	1,358.07 	1,344.10 
VNINDEX,27/04/2022	1,353.77 	12.43 (0.93 %)	   	457,363,500 	12,934,751,360,000 	33,153,826 	1,534,415,860,000 	1,331.73 	1,355.92 	1,314.81 
VNINDEX,26/04/2022	1,341.34 	30.42 (2.32 %)	   	673,169,600 	19,202,391,612,000 	54,478,720 	1,801,762,388,000 	1,285.40 	1,341.34 	1,261.40 
VNINDEX,25/04/2022	1,310.92 	-68.31 (-4.95 %)	   	696,873,600 	19,575,975,767,800 	62,306,558 	2,280,999,080,000 	1,377.83 	1,382.13 	1,298.38 
VNINDEX,22/04/2022	1,379.23 	9.02 (0.66 %)	   	753,461,700 	22,850,204,030,000 	24,661,200 	1,560,915,440,000 	1,378.28 	1,392.89 	1,352.43 
VNINDEX,21/04/2022	1,370.21 	-36.24 (-2.58 %)	   	741,348,500 	21,981,392,835,120 	69,325,233 	1,805,906,164,880 	1,369.80 	1,392.33 	1,356.58 
